Date,SX5E Index,TPX Index,UKX Index,IBEX Index,SPX Index,LBEATREU Index,AEX Index,INGGOPC LX Equity,INGEHYC LX Equity,INGEHIH LX Equity,SGEURSE LX Equity,SGIDXIW LX Equity
41656,3154.1,1297.39,6829.3,10465.7,1838.7,215.3357,408.26,318.08,430.5,7599.04,1070.31299,1356.46
41655,3150.2,1294.39,6815.42,10455.5,1845.89,215.0064,407.59,317.61,429.02,7597.56,1068.37305,1356.46
41654,3168.76,1294.52,6819.86,10525,1848.38,214.5798,408.62,318.01,431.12,7589.25,1072.25903,1356.46
41653,3119.53,1269.08,6766.86,10382,1838.88,214.6395,406.57,314.1,425.28,7584.16,1057.13794,1356.46
41652,3111.94,1298.48,6757.15,10365.5,1819.2,214.5583,404.93,313.07,424.45,7588.73,1055.68994,1356.46
41651,3104.15,1298.48,6739.94,10290.6,1842.37,214.2614,403.95,312.95,422.38,7582.93,1051.03894,1373.54
41650,3104.15,1298.48,6739.94,10290.6,1842.37,214.2614,403.95,312.95,422.38,7582.93,1051.03894,1373.54
41649,3104.15,1298.48,6739.94,10290.6,1842.37,214.2614,403.95,312.95,422.38,7582.93,1051.03894,1373.54
41648,3090.26,1296.75,6691.34,10234.2,1838.13,213.9238,401.97,313.07,421.17,7568.37,1046.48596,1370.41
41647,3110.66,1306.23,6721.78,10253.6,1837.49,214.0017,403.86,314.58,422.19,7566.04,1051.44897,1369.45
41646,3110.96,1283.25,6755.45,10178.7,1837.88,214.1564,402.97,313.06,420.3,7562.15,1049.69495,1371.03
41645,3069.16,1292.15,6730.73,9888.5,1826.77,213.7947,399.85,310.67,415.09,7550.27,1038.13696,1362.78
41644,3074.43,1302.29,6730.67,9798,1831.37,213.5205,401.97,313.09,414.97,7535.78,1039.01294,1366.18
41643,3074.43,1302.29,6730.67,9798,1831.37,213.5205,401.97,313.09,414.97,7535.78,1039.01294,1366.18
41642,3074.43,1302.29,6730.67,9798,1831.37,213.5205,401.97,313.09,414.97,7535.78,1039.01294,1366.18
41641,3059.93,1302.29,6717.91,9760.3,1831.98,213.3435,399.82,312.3,411.95,7529.84,1033.54199,1366.69
41640,3109,1302.29,6749.09,9916.7,1848.36,213.0461,401.79,311.99,417.12,7524.73,1046.39294,1378.94
41639,3109,1302.29,6749.09,9916.7,1848.36,213.0461,401.79,311.99,417.12,7524.73,1046.39294,1378.94
41638,3100.93,1302.29,6731.27,9901.9,1841.07,213.0269,399.77,309.62,416.32,7521.2,1044.12,1373.44
